method,url_template,classification,verification,query_keys,parameter_expression,source,line,column
GET,/jdy-fi-rpt/{dbId}/v1/journal/bankList,read_candidate,not_probed,,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1197361
GET,/jdy-fi-rpt/{dbId}/v1/journal/print2-precheck,read_candidate,not_probed,,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1217177
GET,/jdy-fi-rpt/{dbId}/v1/journal/template,read_candidate,not_probed,,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1194754
GET,/jdy-fi-rpt/{dbId}/v1/qtyDetailAccount/isNewPurchase ,read_candidate,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/36.8c16b134.chunk.js,1,33611
GET,/jdy-fi-rpt/{dbId}/v1/tax-report/formula,read_candidate,not_probed,,l,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/43.c48ed256.chunk.js,1,49386
GET,/jdy-fi-rpt/{dbId}/v1/tax-report/query,read_candidate,not_probed,,a,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/43.c48ed256.chunk.js,1,8163
GET,/jdy-fi-rpt/{dbId}/v1/tax-report/setting,read_candidate,not_probed,,t,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/43.c48ed256.chunk.js,1,71254
GET,/jdy-fi-rpt/{dbId}/v1/ws/getConnectionToken,read_candidate,not_probed,,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,82952
GET,/jdy-fi-tp/{dbId}/ai/v1/review-status,read_candidate,verified_business_success,,{yearPeriod:e},https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,2469126
GET,/jdy-fi-tp/{dbId}/ca/v1/journal/split/opp-accounts,read_candidate,not_probed,,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1199290
GET,/jdy-fi-tp/{dbId}/ca/v1/uk/{e.bankName}/check-acct,read_candidate,not_probed,,,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1198819
GET,/jdy-fi-tp/{dbId}/ca/v1/uk/{e.bankName}/check-record,read_candidate,not_probed,,,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1197923
GET,/jdy-fi-tp/{dbId}/ca/v1/uk/{e.bankName}/check-sign?cardNo={e.cardNo},read_candidate,not_probed,cardNo,,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1198142
